"名称","状态","入接口","发布服务器","源IP符合条件","目的IP地址转换条件","指定协议","映射目的IP地址","映射目的端口范围"
"科讯网络67联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(8092-8092,5888-5888,5030-5030)","10.10.102.67-10.10.102.67","8092-8092,5888-5888,5030-5030"
"科讯网络67电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(8092-8092,5888-5888,5030-5030)","10.10.102.67-10.10.102.67","8092-8092,5888-5888,5030-5030"
"科讯网络68联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5875-5875,9090-9090,3399-3399)","10.10.102.68-10.10.102.68","5875-5875,9090-9090,3399-3399"
"科讯网络68电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5875-5875,9090-9090,3399-3399)","10.10.102.68-10.10.102.68","5875-5875,9090-9090,3399-3399"
"科讯网络66联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(8066-8066,5010-5010,8010-8010)","10.10.102.66-10.10.102.66","8066-8066,5010-5010,8010-8010"
"科讯网络66电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(8066-8066,5010-5010,8010-8010)","10.10.102.66-10.10.102.66","8066-8066,5010-5010,8010-8010"
"科讯网络70联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(3366-3366,8096-8096)","10.10.102.70-10.10.102.70","3366-3366,8096-8096"
"科讯网络70电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(3366-3366,8096-8096)","10.10.102.70-10.10.102.70","3366-3366,8096-8096"
"科迅网络71电信","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5787-5787,8097-8097,5570-5570)","10.10.102.71-10.10.102.71","5787-5787,8097-8097,5570-5570"
"科迅网络71联通","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5787-5787,8097-8097,5570-5570)","10.10.102.71-10.10.102.71","5787-5787,8097-8097,5570-5570"
"科讯网络72联通-zh-20160921","启用","联通","启用","ALL","123.132.252.6-123.132.252.6","TCP(0)to(5610-5610,5772-5772,8067-8067)","10.10.102.72-10.10.102.72","5610-5610,5772-5772,8067-8067"
"科讯网络72电信-zh-20160921","启用","电信","启用","ALL","58.57.53.171-58.57.53.171","TCP(0)to(5610-5610,5772-5772,8067-8067)","10.10.102.72-10.10.102.72","5610-5610,5772-5772,8067-8067"
"建设局安置处--53.174电信","启用","电信","启用","ALL","58.57.53.174-58.57.53.174","TCP(0)to(63399-63399,8097-8097)","10.10.102.43-10.10.102.43","63399-63399,8097-8097"
"联通临建安工程质监处20150909-gby","启用","联通","启用","ALL","123.132.252.9-123.132.252.9","TCP(0)to(63399-63399,8097-8097,806-809,80-80)","10.10.102.43-10.10.102.43","63399-63399,8097-8097,806-809,80-80"
